title,authors,average_rating,isbn,isbn13,publication_date,publisher
World War II: A Short History,Michael J. Lyons,3.9,0130977691,9780130977694,6/19/2003,Routledge
13th Directorate,Barry Chubin,2.62,0804104557,9780804104555,2/28/1989,Ivy Books
The Sorrows of Young Werther,Johann Wolfgang von Goethe/Nathan Haskell Dole/Thomas Carlyle/R. Dillon Boylan,3.67,159569045X,9781595690456,8/15/2006,MONDIAL
Poetics,Aristotle/Malcolm Heath,3.82,0140446362,9780140446364,9/26/1996,Penguin Classics
Terrier (Beka Cooper  #1),Tamora Pierce,4.15,037581468X,9780375814686,10/24/2006,Random House
Merde Encore!: More of the Real French You Were Never Taught at School,Geneviève/Michael    Heath,3.96,0684854287,9780684854281,12/9/1998,Gallery Books
Disordered Minds,Minette Walters,3.78,0425199355,9780425199350,12/7/2004,Berkley
Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,Robert Robinson/Jonathan Slevin,4.33,0874918855,9780874918854,12/31/1988,Acropolis Books (NY)
The Virgin Blue,Tracy Chevalier,3.66,0452284449,9780452284449,6/24/2003,Penguin Books
Angels,Denis Johnson,3.72,0099440830,9780099440833,3/6/2003,Vintage
Lectures on the History of Philosophy 1: Greek Philosophy to Plato,Georg Wilhelm Friedrich Hegel/E.S. Haldane/Frederick C. Beiser,4.05,0803272715,9780803272712,6/1/1995,University of Nebraska Press
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,3.88,0195125983,9780195125986,2/22/2001,Oxford University Press  USA
Of Mice and Men,John Steinbeck,3.87,0142000671,9780142000670,1/8/2002,Penguin Books
He Sees You When You're Sleeping,Mary Higgins Clark/Carol Higgins Clark,3.79,0743456866,9780743456869,11/1/2002,Pocket Books
Irish Traditional Cooking: Over 300 Recipes from Ireland's Heritage,Darina Allen/Regina Sexton,4.19,190492011X,9781904920113,12/22/2004,Kyle Books
Making a Change for Good: A Guide to Compassionate Self-Discipline,Cheri Huber,3.93,1590302087,9781590302088,3/13/2007,Shambhala
The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,4.4,0679755527,9780679755524,6/24/1995,Vintage
The Talbot Odyssey,Nelson DeMille,3.85,0751531200,9780751531206,11/2/2000,Sphere
Catching Alice,Clare Naylor,3.38,0449005577,9780449005576,10/31/2000,Ballantine Books
The Girl in the Glass,Jeffrey Ford,3.72,0060936193,9780060936198,8/16/2005,William Morrow Paperbacks
La falsificadora,Jennifer Crusie/Marina Mariasch,3.92,9500426544,9789500426541,9/1/2005,Planeta Publishing
Brighid's Quest (Partholon  #5),P.C. Cast,4.14,0373802420,9780373802425,11/29/2005,Luna Books
Soldier of Sidon (Latro #3),Gene Wolfe,4.01,0765316641,9780765316646,10/31/2006,Tor Books
Sir Gawain and the Green Knight,Selina Shirley Hastings/Juan Wijngaard,3.91,0744520053,9780744520057,6/27/1991,Walker Books Ltd
Not Even for Love,Erin St. Claire/Sandra Brown,3.49,044661291X,9780446612913,4/1/2004,Grand Central Publishing
CliffsNotes on Joyce's Dubliners (Cliffs Notes),Adam  Sexton/G. Tubach,3.4,0764537156,9780764537158,4/25/2003,Cliffs Notes
Lipstick Jungle,Candace Bushnell,3.41,0786887079,9780786887071,8/8/2006,Hachette Books
Ender's Shadow (The Shadow Series  #1),Orson Scott Card,4.31,0765342405,9780765342409,5/19/2002,Starscape
Der lohfarbene Mann (Die zweiten Chroniken von Fitz  dem Weitseher  #1),Robin Hobb,4.31,3404283368,9783404283361,4/1/2003,Lübbe
The Lust Lizard of Melancholy Cove (Pine Cove  #2),Christopher Moore,3.87,0060735457,9780060735456,5/25/2004,William Morrow Paperbacks
The Authority  Vol. 2: Under New Management,Warren Ellis/Mark Millar/Bryan Hitch/Frank Quitely,4.15,1563897563,9781563897566,11/1/2000,Wildstorm
La conjura de los necios,John Kennedy Toole,3.89,8496333604,9788496333604,1/10/2006,Quinteto
9-11,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,3.73,1583224890,9781583224892,12/4/2001,Seven Stories Press
Five Children and It,E. Nesbit/Gillian Avery,3.88,0143039156,9780143039150,12/28/2004,Penguin Classics
The Origin of the Bible,F.F. Bruce/Philip W. Comfort/Carl F.H. Henry/J.I. Packer,3.86,0842383670,9780842383677,12/17/2003,Tyndale House Publishers
The Collected Poems  1957-1987,Octavio Paz/Eliot Weinberger/Elizabeth Bishop,4.3,0811211738,9780811211734,4/17/1991,New Directions Publishing Corporation
Barnaby Rudge,Charles Dickens/John Bowen/Hablot Knight Browne,3.81,0140437282,9780140437287,2/27/2003,Penguin Books
Savage Love: Straight Answers from America's Most Popular Sex Columnist,Dan Savage,3.85,0452278155,9780452278158,10/1/1998,Penguin Books
Dancing on My Grave,Gelsey Kirkland/Greg Lawrence,3.8,051509465X,9780515094657,11/1/1987,Jove
Encyclopedia Brown and the Case of the Slippery Salamander (Encyclopedia Brown  #22),Donald J. Sobol/Warren Chang,4.08,0553485210,9780553485219,8/8/2003,Yearling
3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,4.02,0446696641,9780446696647,5/20/2005,Grand Central Publishing
Sense and Sensibility,Jane Austen/Laura Engel,4.07,1593080492,9781593080495,8/1/2003,Barnes  Noble Classics
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,0143039830,9780143039839,3/28/2006,Penguin Classics
The Name of the Rose (Everyman's Library (Cloth)),Umberto Eco,4.12,0307264890,9780307264893,9/26/2006,Everyman's Library
The Capricorn Stone,Madeleine Brent,3.91,044920149X,9780449201497,5/12/1983,Fawcett
The Collected Poetry  1968-1998,Nikki Giovanni/Virginia C. Fowler,4.42,0060724293,9780060724290,1/23/2007,William Morrow
Strong Motion,Jonathan Franzen,3.52,184115749X,9781841157498,6/1/2007,Fourth Estate (GB)
Touching the Rock: An Experience of Blindness,John M. Hull/Oliver Sacks,3.98,067973547X,9780679735472,6/2/1992,Vintage
The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,4.12,044101125X,9780441011254,9/30/2003,Ace Books
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,3.88,0307383415,9780307383419,1/9/2007,Crown
Key Topics in Conservation Biology,David W. Macdonald/Alonzo C. Addison/Sandra Baker/Mark S. Boyce/David Brown/Stephen Cobb/N. Mark Collins/C. Patrick Doncaster/John E. Fa/Joshua Ginsberg/Susanna B. Hecht/Katrina Service/Steve Albon/Les Firbank/Eli Geffen/Lise Albrechtsen/Elizabeth J. Asteraki/Christian Bonacic/Marcel Cardillo/Chris R. Dickman/Stephen A. Ellwood/H. Resit Akcakaya/Ruth E. Feber,3.33,1405122498,9781405122498,1/1/2006,Wiley-Blackwell
Conversations with Bernard Malamud (Literary Conversations),J. Michael Lennon/Lawrence M. Lasher,4.0,0878054898,9780878054893,4/28/1991,University Press of Mississippi
Assumed Identity,David Morrell,3.78,0446600709,9780446600705,9/1/1994,Vision
Fever Pitch,Nick Hornby,3.74,1573226882,9781573226882,3/1/1998,Riverhead Books
Underworld,Don DeLillo,3.92,0684848155,9780684848150,7/9/1998,Scribner
Prétear  Vol. 2 (Prétear  #2),Junichi Satō/Kaori Naruse,4.0,141390145X,9781413901450,8/24/2004,ADV Manga
Seize the Night (Moonlight Bay  #2),Dean Koontz/Keith Szarabajka,4.08,0553479016,9780553479010,12/29/1998,Random House Audio Publishing Group
Malinche,Laura Esquivel/Jordi Castells/Ernesto Mestre-Reed,3.28,074329033X,9780743290333,5/2/2006,Atria Books
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,Dale Carnegie,4.17,1578660394,9781578660391,6/15/1998,Galahad Books
Treasury of American Tall Tales: Volume 1: Davy Crockett  Rip Van Winkle  Johnny Appleseed  Paul Bunyan (Rabbit Ears),David Bromberg/Jay Ungar/Molly Mason/Garrison Keillor/Mark O'Connor/Jonathan Winters/Duck Baker/Washington Irving/Anjelica Huston/Nicolas Cage/Leo Kottke,3.86,0739336509,9780739336502,8/22/2006,Listening Library (Audio)
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,4.31,1573241172,645241001173,5/31/2000,Conari Press
Selected Poems,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,0811208990,9780811208994,9/17/1984,New Directions
Keep the Aspidistra Flying,George Orwell,3.88,0141183721,9780141183725,10/26/2000,Penguin Books Ltd
The Face of Another,Kōbō Abe/E. Dale Saunders,3.78,0375726535,9780375726538,2/4/2003,Vintage
Shadowmarch (Shadowmarch  #1),Tad Williams,3.73,0756402700,9780756402709,11/1/2005,DAW
Midnight's Children,Salman Rushdie,3.98,0330267140,9780330267144,4/8/1982,Picador
Your and My Secret  Vol. 1,Ai Morinaga,3.54,1413901433,9781413901436,7/6/2004,ADV Manga
Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,4/6/2004,Scribner
How to Travel with a Salmon & Other Essays,Umberto Eco/William Weaver,3.85,0099428636,9780099428633,4/16/2001,Vintage
PS I Love You Baby Collection,Lynda Milligan/Nancy J. Smith,4.43,0962247723,9780962247729,12/31/1990,Possibilities
Digging to America,Anne Tyler,3.55,0307263940,9780307263940,5/2/2006,Alfred A. Knopf
A Painted House,John Grisham,3.7,0385337930,9780385337939,2/3/2004,Bantam
